App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Current Ver
App_1,MEDICAL,1.7,119889.0,83M,100000.0,Free,0.0,Everyone,4.2
App_2,FINANCE,3.0,321889.0,38M,50000.0,Free,0.0,Everyone,2.5
App_3,PRODUCTIVITY,2.2,156740.0,92M,1000000.0,Free,0.0,Teen,2.2
App_4,BUSINESS,3.4,273548.0,7M,5000000.0,Free,0.0,Teen,4.1
App_5,FAMILY,1.4,124253.0,60M,1000000.0,Free,0.0,Everyone 10+,1.3
App_6,FAMILY,2.2,208271.0,4M,5000000.0,Free,0.0,Teen,2.3
App_7,FINANCE,2.3,40407.0,62M,5000000.0,Free,0.0,Teen,4.8
App_8,BUSINESS,2.1,38054.0,65M,1000.0,Free,0.0,Mature 17+,4.7
App_9,MEDICAL,3.8,13996.0,5M,50000.0,Free,0.0,Everyone,1.7
App_10,BUSINESS,1.3,297376.0,37M,100000.0,Free,0.0,Teen,1.2
App_11,PRODUCTIVITY,4.4,479232.0,14M,100000.0,Free,0.0,Everyone 10+,4.2
App_12,MEDICAL,2.9,185350.0,94M,5000000.0,Free,0.0,Everyone,1.3
App_13,PRODUCTIVITY,3.0,337604.0,28M,50000.0,Free,0.0,Teen,2.3
App_14,FINANCE,2.3,75776.0,62M,1000.0,Free,0.0,Everyone 10+,4.8
App_15,TOOLS,3.0,21969.0,62M,5000000.0,Free,0.0,Teen,3.5
App_16,GAME,1.3,39363.0,39M,50000.0,Free,0.0,Everyone,1.0
App_17,FAMILY,1.2,352238.0,1M,100000.0,Free,0.0,Everyone,4.5
App_18,MEDICAL,4.0,381060.0,38M,5000000.0,Free,0.0,Teen,3.0
App_19,GAME,1.7,15718.0,59M,1000000.0,Paid,10.72,Everyone 10+,3.3
App_20,GAME,2.5,362843.0,11M,1000000.0,Free,0.0,Teen,2.2
App_21,MEDICAL,4.3,107522.0,2M,1000.0,Paid,18.04,Everyone,3.8
App_22,GAME,3.9,66700.0,54M,1000.0,Free,0.0,Everyone 10+,4.5
App_23,BUSINESS,2.5,300514.0,93M,50000.0,Free,0.0,Teen,3.8
App_24,BUSINESS,1.9,353566.0,8M,100000.0,Free,0.0,Everyone,3.2
App_25,FINANCE,2.0,473135.0,51M,100000.0,Free,0.0,Everyone,4.0
App_26,PRODUCTIVITY,3.0,479232.0,Varies with device,1000.0,Paid,19.89,Teen,1.5
App_27,TOOLS,4.8,265574.0,53M,100000.0,Free,0.0,Mature 17+,1.6
App_28,GAME,1.7,165666.0,54M,50000.0,Free,0.0,Teen,4.5
App_29,MEDICAL,3.1,230795.0,33M,1000.0,Free,0.0,Mature 17+,2.6
App_30,FAMILY,4.5,139798.0,Varies with device,1000.0,Free,0.0,Mature 17+,4.2
App_31,MEDICAL,3.0,32107.0,Varies with device,100000.0,Free,0.0,Everyone 10+,2.5
App_32,GAME,3.0,389967.0,60M,5000000.0,Free,0.0,Everyone,4.4
App_33,MEDICAL,3.0,197494.0,94M,100000.0,Free,0.0,Mature 17+,2.2
App_34,GAME,2.7,103491.0,Varies with device,5000000.0,Free,0.0,Teen,1.4
App_35,GAME,1.6,177257.0,48M,1000.0,Free,0.0,Everyone,1.6
App_36,MEDICAL,3.9,466892.0,16M,100000.0,Free,0.0,Everyone,4.4
App_37,MEDICAL,3.0,489207.0,69M,1000000.0,Paid,15.49,Everyone,1.4
App_38,MEDICAL,3.0,210687.0,34M,1000000.0,Free,0.0,Teen,4.0
App_39,PRODUCTIVITY,3.5,188761.0,92M,100000.0,Free,0.0,Mature 17+,4.0
App_40,GAME,4.3,365845.0,33M,50000.0,Free,0.0,Everyone,3.1
App_41,PRODUCTIVITY,3.0,100396.0,90M,5000000.0,Free,0.0,Teen,3.8
App_42,MEDICAL,3.0,351742.0,75M,5000000.0,Paid,8.93,Everyone,2.4
App_43,GAME,3.3,345196.0,82M,1000.0,Free,0.0,Mature 17+,4.4
App_44,BUSINESS,4.0,112866.0,30M,1000.0,Free,0.0,Mature 17+,2.2
App_45,GAME,3.0,195014.0,76M,1000.0,Free,0.0,Teen,4.2
App_46,FAMILY,2.8,102805.0,85M,1000000.0,Free,0.0,Mature 17+,1.4
App_47,FAMILY,5.0,365187.0,87M,5000000.0,Free,0.0,Teen,1.0
App_48,PRODUCTIVITY,2.7,181425.0,Varies with device,50000.0,Free,0.0,Teen,1.5
App_49,TOOLS,4.5,476511.0,71M,1000.0,Free,0.0,Mature 17+,3.2
App_50,PRODUCTIVITY,3.8,287443.0,39M,100000.0,Free,0.0,Teen,2.3
App_51,BUSINESS,4.3,305072.0,77M,1000000.0,Free,0.0,Everyone 10+,1.7
App_52,GAME,4.9,298549.0,45M,5000000.0,Free,0.0,Mature 17+,3.4
App_53,BUSINESS,4.9,114075.0,49M,1000.0,Free,0.0,Teen,3.8
App_54,TOOLS,4.8,21457.0,24M,1000000.0,Free,0.0,Teen,2.7
App_55,FAMILY,2.1,496494.0,64M,100000.0,Free,0.0,Everyone,1.3
App_56,PRODUCTIVITY,1.7,165431.0,Varies with device,50000.0,Free,0.0,Everyone,2.7
App_57,FINANCE,1.2,1025.0,65M,50000.0,Free,0.0,Everyone,2.8
App_58,FINANCE,3.3,151466.0,99M,1000.0,Paid,2.42,Mature 17+,3.4
App_59,FINANCE,3.3,200254.0,74M,100000.0,Free,0.0,Teen,1.2
App_60,PRODUCTIVITY,1.9,299898.0,34M,1000000.0,Free,0.0,Everyone 10+,2.5
App_61,FINANCE,2.2,436170.0,5M,100000.0,Free,0.0,Mature 17+,3.4
App_62,PRODUCTIVITY,4.2,321648.0,98M,50000.0,Free,0.0,Teen,3.1
App_63,BUSINESS,2.8,304472.0,51M,1000.0,Free,0.0,Mature 17+,1.0
App_64,BUSINESS,3.0,364622.0,53M,50000.0,Free,0.0,Everyone 10+,3.2
App_65,MEDICAL,1.5,202856.0,16M,1000000.0,Free,0.0,Mature 17+,4.2
App_66,TOOLS,1.7,121475.0,21M,5000000.0,Free,0.0,Teen,1.5
App_67,GAME,2.4,224311.0,78M,50000.0,Free,0.0,Everyone,3.8
App_68,FINANCE,3.0,186727.0,48M,5000000.0,Paid,17.49,Mature 17+,1.3
App_69,MEDICAL,4.7,139799.0,87M,50000.0,Free,0.0,Teen,3.6
App_70,TOOLS,3.0,38648.0,Varies with device,50000.0,Free,0.0,Everyone 10+,4.8
App_71,MEDICAL,1.1,247746.0,86M,50000.0,Free,0.0,Everyone,4.8
App_72,BUSINESS,3.6,386203.0,Varies with device,50000.0,Free,0.0,Mature 17+,3.8
App_73,PRODUCTIVITY,3.6,427755.0,59M,5000000.0,Free,0.0,Everyone,2.4
App_74,FINANCE,3.0,470375.0,62M,1000.0,Paid,10.96,Mature 17+,4.5
App_75,FAMILY,4.7,218968.0,94M,100000.0,Free,0.0,Teen,4.2
App_76,PRODUCTIVITY,1.7,304255.0,84M,1000.0,Free,0.0,Mature 17+,2.5
App_77,PRODUCTIVITY,4.7,367446.0,33M,50000.0,Free,0.0,Everyone,4.1
App_78,PRODUCTIVITY,1.4,132424.0,17M,1000.0,Free,0.0,Mature 17+,3.0
App_79,PRODUCTIVITY,4.9,127319.0,75M,1000.0,Free,0.0,Everyone 10+,4.5
App_80,BUSINESS,1.6,435058.0,60M,100000.0,Free,0.0,Everyone,2.3
App_81,GAME,2.6,305457.0,14M,100000.0,Free,0.0,Everyone,3.0
App_82,GAME,2.6,411607.0,Varies with device,100000.0,Free,0.0,Teen,3.2
App_83,FAMILY,4.2,333478.0,94M,100000.0,Free,0.0,Teen,1.4
App_84,TOOLS,1.1,281183.0,5M,100000.0,Free,0.0,Teen,3.3
App_85,PRODUCTIVITY,2.6,232614.0,29M,1000000.0,Free,0.0,Teen,1.5
App_86,TOOLS,3.2,386868.0,20M,100000.0,Free,0.0,Mature 17+,4.6
App_87,MEDICAL,3.5,469219.0,62M,50000.0,Free,0.0,Everyone 10+,3.3
App_88,BUSINESS,1.1,136.0,92M,50000.0,Paid,2.46,Teen,2.6
App_89,GAME,3.0,429470.0,36M,1000.0,Free,0.0,Teen,4.4
App_90,MEDICAL,3.0,490642.0,57M,5000000.0,Free,0.0,Everyone 10+,1.5
App_91,FAMILY,2.9,298522.0,59M,1000000.0,Free,0.0,Teen,3.3
App_92,FINANCE,3.0,308394.0,63M,100000.0,Free,0.0,Mature 17+,1.6
App_93,GAME,1.6,315007.0,63M,5000000.0,Free,0.0,Everyone 10+,1.6
App_94,TOOLS,4.6,264233.0,49M,5000000.0,Free,0.0,Mature 17+,2.0
App_95,FINANCE,3.1,137727.0,94M,100000.0,Free,0.0,Everyone,3.6
App_96,TOOLS,2.1,337783.0,97M,1000000.0,Free,0.0,Everyone 10+,1.8
App_97,MEDICAL,1.8,63240.0,Varies with device,1000.0,Free,0.0,Everyone 10+,4.7
App_98,FAMILY,5.0,206121.0,16M,1000000.0,Free,0.0,Teen,3.6
App_99,FAMILY,3.0,254736.0,85M,100000.0,Paid,17.64,Everyone,2.0
App_100,MEDICAL,2.3,146440.0,87M,1000000.0,Free,0.0,Everyone,2.8
App_101,FAMILY,1.9,257539.0,24M,1000.0,Free,0.0,Mature 17+,3.0
App_102,FAMILY,3.0,2583.0,66M,5000000.0,Free,0.0,Everyone,3.3
App_103,FAMILY,1.7,388832.0,70M,50000.0,Free,0.0,Teen,2.1
App_104,GAME,3.0,471637.0,86M,5000000.0,Free,0.0,Everyone 10+,4.1
App_105,BUSINESS,3.0,224147.0,26M,5000000.0,Free,0.0,Teen,2.5
App_106,TOOLS,1.4,480636.0,21M,100000.0,Free,0.0,Mature 17+,3.6
App_107,TOOLS,2.6,461473.0,69M,1000.0,Free,0.0,Everyone 10+,3.3
App_108,TOOLS,4.8,38900.0,26M,50000.0,Paid,2.42,Everyone,1.7
App_109,FAMILY,1.3,28155.0,44M,100000.0,Free,0.0,Teen,1.0
App_110,PRODUCTIVITY,3.8,259578.0,62M,100000.0,Free,0.0,Everyone,1.5
App_111,FINANCE,4.6,251157.0,26M,1000.0,Free,0.0,Everyone 10+,1.5
App_112,MEDICAL,3.2,281695.0,14M,5000000.0,Free,0.0,Everyone 10+,2.6
App_113,PRODUCTIVITY,4.4,287664.0,59M,50000.0,Free,0.0,Teen,3.1
App_114,TOOLS,2.4,151744.0,39M,1000.0,Free,0.0,Teen,2.0
App_115,PRODUCTIVITY,1.9,467264.0,34M,100000.0,Free,0.0,Everyone,4.2
App_116,TOOLS,2.4,422855.0,Varies with device,5000000.0,Free,0.0,Mature 17+,3.8
App_117,FAMILY,3.0,286728.0,5M,1000.0,Free,0.0,Everyone 10+,4.1
App_118,BUSINESS,3.4,188857.0,Varies with device,1000.0,Paid,8.43,Mature 17+,2.4
App_119,PRODUCTIVITY,3.4,131888.0,46M,100000.0,Free,0.0,Teen,4.3
App_120,TOOLS,4.4,431423.0,74M,100000.0,Free,0.0,Teen,1.5
App_121,FAMILY,2.4,444174.0,87M,1000.0,Free,0.0,Mature 17+,1.2
App_122,FAMILY,5.0,417804.0,13M,5000000.0,Free,0.0,Everyone,1.1
App_123,TOOLS,2.1,491046.0,25M,50000.0,Free,0.0,Everyone,1.4
App_124,TOOLS,3.0,25569.0,38M,100000.0,Free,0.0,Teen,1.4
App_125,PRODUCTIVITY,3.0,377159.0,58M,100000.0,Free,0.0,Teen,1.0
App_126,FINANCE,4.5,198757.0,59M,1000.0,Free,0.0,Everyone,2.3
App_127,MEDICAL,1.8,194702.0,58M,1000.0,Paid,16.68,Teen,1.6
App_128,MEDICAL,3.0,126219.0,93M,1000000.0,Paid,6.44,Teen,1.0
App_129,MEDICAL,1.0,326006.0,70M,100000.0,Free,0.0,Teen,2.4
App_130,PRODUCTIVITY,1.7,438765.0,Varies with device,100000.0,Free,0.0,Mature 17+,2.5
App_131,GAME,3.0,470145.0,Varies with device,50000.0,Free,0.0,Everyone 10+,4.2
App_132,BUSINESS,1.1,123796.0,79M,100000.0,Free,0.0,Everyone 10+,2.1
App_133,PRODUCTIVITY,1.4,359922.0,29M,5000000.0,Free,0.0,Mature 17+,2.3
App_134,FINANCE,4.5,437639.0,92M,5000000.0,Free,0.0,Mature 17+,4.5
App_135,TOOLS,4.9,138506.0,38M,50000.0,Free,0.0,Mature 17+,4.1
App_136,MEDICAL,3.2,283717.0,17M,5000000.0,Free,0.0,Everyone 10+,2.3
App_137,MEDICAL,1.5,238270.0,3M,1000000.0,Free,0.0,Everyone,1.5
App_138,MEDICAL,3.7,34541.0,48M,1000.0,Free,0.0,Teen,1.1
App_139,TOOLS,1.6,254235.0,82M,100000.0,Free,0.0,Everyone,1.7
App_140,TOOLS,1.4,436634.0,46M,1000000.0,Free,0.0,Teen,2.0
App_141,FAMILY,4.5,477095.0,Varies with device,1000000.0,Free,0.0,Everyone 10+,3.1
App_142,MEDICAL,1.7,324922.0,61M,100000.0,Free,0.0,Everyone,3.8
App_143,FAMILY,4.8,259941.0,62M,100000.0,Free,0.0,Everyone 10+,4.5
