App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Current Ver
App_1,MEDICAL,1.7,119889,83M,"100,000+",Free,$0,Everyone,4.2
App_2,FINANCE,,321889,38M,"50,000+",Free,$0,Everyone,2.5
App_3,PRODUCTIVITY,2.2,156740,92M,"1,000,000+",Free,$0,Teen,2.2
App_4,BUSINESS,3.4,273548,7M,"5,000,000+",Free,$0,Teen,4.1
App_5,FAMILY,1.4,124253,60M,"1,000,000+",Free,$0,Everyone 10+,1.3
App_6,FAMILY,2.2,208271,4M,"5,000,000+",Free,$0,Teen,2.3
App_7,FINANCE,2.3,40407,62M,"5,000,000+",Free,$0,Teen,4.8
App_8,BUSINESS,2.1,38054,65M,"1,000+",Free,$0,Mature 17+,4.7
App_9,MEDICAL,3.8,13996,5M,"50,000+",Free,$0,Everyone,1.7
App_10,BUSINESS,1.3,297376,37M,"100,000+",Free,$0,Teen,1.2
App_11,PRODUCTIVITY,4.4,15000000,14M,"100,000+",Free,$0,Everyone 10+,4.2
App_12,MEDICAL,2.9,185350,94M,"5,000,000+",Free,$0,Everyone,1.3
App_13,PRODUCTIVITY,,337604,28M,"50,000+",Free,$0,Teen,2.3
App_14,FINANCE,2.3,75776,62M,"1,000+",Free,$0,Everyone 10+,4.8
App_15,TOOLS,,21969,62M,"5,000,000+",Free,$0,Teen,3.5
App_16,GAME,1.3,39363,39M,"50,000+",Free,$0,Everyone,1.0
App_17,FAMILY,1.2,352238,1M,"100,000+",Free,$0,Everyone,4.5
App_18,MEDICAL,4.0,381060,38M,"5,000,000+",Free,$0,Teen,3.0
App_19,GAME,1.7,15718,59M,"1,000,000+",Paid,$10.72,Everyone 10+,3.3
App_20,GAME,2.5,362843,11M,"1,000,000+",Free,$0,Teen,2.2
App_21,MEDICAL,4.3,107522,2M,"1,000+",Paid,$18.04,Everyone,3.8
App_22,GAME,3.9,66700,54M,"1,000+",Free,$0,Everyone 10+,4.5
App_23,BUSINESS,2.5,300514,93M,"50,000+",Free,$0,Teen,3.8
App_24,BUSINESS,1.9,353566,8M,"100,000+",Free,$0,Everyone,3.2
App_25,FINANCE,2.0,473135,51M,"100,000+",Free,$0,Everyone,4.0
App_26,PRODUCTIVITY,3.0,22000000,Varies with device,"1,000+",Paid,$19.89,Teen,1.5
App_27,TOOLS,4.8,265574,53M,"100,000+",Free,$0,Mature 17+,1.6
App_28,GAME,1.7,165666,54M,"50,000+",Free,$0,Teen,4.5
App_29,MEDICAL,3.1,230795,33M,"1,000+",Free,$0,Mature 17+,2.6
App_30,FAMILY,4.5,139798,Varies with device,"1,000+",Free,$0,Mature 17+,4.2
App_31,MEDICAL,,32107,Varies with device,"100,000+",Free,$0,Everyone 10+,2.5
App_32,GAME,,389967,60M,"5,000,000+",Free,$0,Everyone,4.4
App_33,MEDICAL,,197494,94M,"100,000+",Free,$0,Mature 17+,2.2
App_34,GAME,2.7,103491,Varies with device,"5,000,000+",Free,$0,Teen,1.4
App_35,GAME,1.6,177257,48M,"1,000+",Free,$0,Everyone,1.6
App_36,MEDICAL,3.9,466892,16M,"100,000+",Free,$0,Everyone,4.4
App_37,MEDICAL,,489207,69M,"1,000,000+",Paid,$15.49,Everyone,1.4
App_38,MEDICAL,,210687,34M,"1,000,000+",Free,$0,Teen,4.0
App_39,PRODUCTIVITY,3.5,188761,92M,"100,000+",Free,$0,Mature 17+,4.0
App_40,GAME,4.3,365845,33M,"50,000+",Free,$0,Everyone,3.1
App_41,PRODUCTIVITY,,100396,90M,"5,000,000+",Free,$0,Teen,3.8
App_42,MEDICAL,,351742,75M,"5,000,000+",Paid,$8.93,Everyone,2.4
App_43,GAME,3.3,345196,82M,"1,000+",Free,$0,Mature 17+,4.4
App_44,BUSINESS,4.0,112866,30M,"1,000+",Free,$0,Mature 17+,2.2
App_45,GAME,,195014,76M,"1,000+",Free,$0,Teen,4.2
App_46,FAMILY,2.8,102805,85M,"1,000,000+",Free,$0,Mature 17+,1.4
App_47,FAMILY,5.0,365187,87M,"5,000,000+",Free,$0,Teen,1.0
App_48,PRODUCTIVITY,2.7,181425,Varies with device,"50,000+",Free,$0,Teen,1.5
App_49,TOOLS,4.5,476511,71M,"1,000+",Free,$0,Mature 17+,3.2
App_50,PRODUCTIVITY,3.8,287443,39M,"100,000+",Free,$0,Teen,2.3
App_51,BUSINESS,4.3,305072,77M,"1,000,000+",Free,$0,Everyone 10+,1.7
App_52,GAME,4.9,298549,45M,"5,000,000+",Free,$0,Mature 17+,3.4
App_53,BUSINESS,4.9,114075,49M,"1,000+",Free,$0,Teen,3.8
App_54,TOOLS,4.8,21457,24M,"1,000,000+",Free,$0,Teen,2.7
App_55,FAMILY,2.1,496494,64M,"100,000+",Free,$0,Everyone,1.3
App_56,PRODUCTIVITY,1.7,165431,Varies with device,"50,000+",Free,$0,Everyone,2.7
App_57,FINANCE,1.2,1025,65M,"50,000+",Free,$0,Everyone,2.8
App_58,FINANCE,3.3,151466,99M,"1,000+",Paid,$2.42,Mature 17+,3.4
App_59,FINANCE,3.3,200254,74M,"100,000+",Free,$0,Teen,1.2
App_60,PRODUCTIVITY,1.9,299898,34M,"1,000,000+",Free,$0,Everyone 10+,2.5
App_61,FINANCE,2.2,436170,5M,"100,000+",Free,$0,Mature 17+,3.4
App_62,PRODUCTIVITY,4.2,321648,98M,"50,000+",Free,$0,Teen,3.1
App_63,BUSINESS,2.8,304472,51M,"1,000+",Free,$0,Mature 17+,1.0
App_64,BUSINESS,,364622,53M,"50,000+",Free,$0,Everyone 10+,3.2
App_65,MEDICAL,1.5,202856,16M,"1,000,000+",Free,$0,Mature 17+,4.2
App_66,TOOLS,1.7,121475,21M,"5,000,000+",Free,$0,Teen,1.5
App_67,GAME,2.4,224311,78M,"50,000+",Free,$0,Everyone,3.8
App_68,FINANCE,,186727,48M,"5,000,000+",Paid,$17.49,Mature 17+,1.3
App_69,MEDICAL,4.7,139799,87M,"50,000+",Free,$0,Teen,3.6
App_70,TOOLS,3.0,38648,Varies with device,"50,000+",Free,$0,Everyone 10+,4.8
App_71,MEDICAL,1.1,247746,86M,"50,000+",Free,$0,Everyone,4.8
App_72,BUSINESS,3.6,386203,Varies with device,"50,000+",Free,$0,Mature 17+,3.8
App_73,PRODUCTIVITY,3.6,427755,59M,"5,000,000+",Free,$0,Everyone,2.4
App_74,FINANCE,3.0,470375,62M,"1,000+",Paid,$10.96,Mature 17+,4.5
App_75,FAMILY,4.7,218968,94M,"100,000+",Free,$0,Teen,4.2
App_76,PRODUCTIVITY,1.7,304255,84M,"1,000+",Free,$0,Mature 17+,2.5
App_77,PRODUCTIVITY,4.7,367446,33M,"50,000+",Free,$0,Everyone,4.1
App_78,PRODUCTIVITY,1.4,132424,17M,"1,000+",Free,$0,Mature 17+,3.0
App_79,PRODUCTIVITY,4.9,127319,75M,"1,000+",Free,$0,Everyone 10+,4.5
App_80,BUSINESS,1.6,435058,60M,"100,000+",Free,$0,Everyone,2.3
App_81,GAME,2.6,305457,14M,"100,000+",Free,$0,Everyone,3.0
App_82,GAME,2.6,411607,Varies with device,"100,000+",Free,$0,Teen,3.2
App_83,FAMILY,4.2,333478,94M,"100,000+",Free,$0,Teen,1.4
App_84,TOOLS,1.1,281183,5M,"100,000+",Free,$0,Teen,3.3
App_85,PRODUCTIVITY,2.6,232614,29M,"1,000,000+",Free,$0,Teen,
App_86,TOOLS,3.2,386868,20M,"100,000+",Free,$0,Mature 17+,4.6
App_87,MEDICAL,3.5,469219,62M,"50,000+",Free,$0,Everyone 10+,3.3
App_88,BUSINESS,1.1,136,92M,"50,000+",Paid,$2.46,Teen,2.6
App_89,GAME,,429470,36M,"1,000+",Free,$0,Teen,4.4
App_90,MEDICAL,,490642,57M,"5,000,000+",Free,$0,Everyone 10+,1.5
App_91,FAMILY,2.9,298522,59M,"1,000,000+",Free,$0,Teen,3.3
App_92,FINANCE,,308394,63M,"100,000+",Free,$0,Mature 17+,1.6
App_93,GAME,1.6,315007,63M,"5,000,000+",Free,$0,Everyone 10+,1.6
App_94,TOOLS,4.6,264233,49M,"5,000,000+",Free,$0,Mature 17+,2.0
App_95,FINANCE,3.1,137727,94M,"100,000+",Free,$0,Everyone,3.6
App_96,TOOLS,2.1,337783,97M,"1,000,000+",Free,$0,Everyone 10+,1.8
App_97,MEDICAL,1.8,63240,Varies with device,"1,000+",Free,$0,Everyone 10+,4.7
App_98,FAMILY,5.0,206121,16M,"1,000,000+",Free,$0,Teen,3.6
App_99,FAMILY,,254736,85M,"100,000+",Paid,$17.64,Everyone,2.0
App_100,MEDICAL,2.3,146440,87M,"1,000,000+",Free,$0,Everyone,2.8
App_101,FAMILY,1.9,257539,24M,"1,000+",Free,$0,Mature 17+,3.0
App_102,FAMILY,,2583,66M,"5,000,000+",Free,$0,Everyone,3.3
App_103,FAMILY,1.7,388832,70M,"50,000+",Free,$0,Teen,2.1
App_104,GAME,3.0,471637,86M,"5,000,000+",Free,$0,Everyone 10+,4.1
App_105,BUSINESS,3.0,224147,26M,"5,000,000+",Free,$0,Teen,2.5
App_106,TOOLS,1.4,480636,21M,"100,000+",Free,$0,Mature 17+,3.6
App_107,TOOLS,2.6,461473,69M,"1,000+",Free,$0,Everyone 10+,3.3
App_108,TOOLS,4.8,38900,26M,"50,000+",Paid,$2.42,Everyone,1.7
App_109,FAMILY,1.3,28155,44M,"100,000+",Free,$0,Teen,1.0
App_110,PRODUCTIVITY,3.8,259578,62M,"100,000+",Free,$0,Everyone,1.5
App_111,FINANCE,4.6,251157,26M,"1,000+",Free,$0,Everyone 10+,
App_112,MEDICAL,3.2,281695,14M,"5,000,000+",Free,$0,Everyone 10+,2.6
App_113,PRODUCTIVITY,4.4,287664,59M,"50,000+",Free,$0,Teen,3.1
App_114,TOOLS,2.4,151744,39M,"1,000+",Free,$0,Teen,2.0
App_115,PRODUCTIVITY,1.9,467264,34M,"100,000+",Free,$0,Everyone,4.2
App_116,TOOLS,2.4,422855,Varies with device,"5,000,000+",Free,$0,Mature 17+,3.8
App_117,FAMILY,,286728,5M,"1,000+",Free,$0,Everyone 10+,4.1
App_118,BUSINESS,3.4,188857,Varies with device,"1,000+",Paid,$8.43,Mature 17+,2.4
App_119,PRODUCTIVITY,3.4,131888,46M,"100,000+",Free,$0,Teen,4.3
App_120,TOOLS,4.4,431423,74M,"100,000+",Free,$0,Teen,
App_121,FAMILY,2.4,444174,87M,"1,000+",Free,$0,Mature 17+,1.2
App_122,FAMILY,5.0,417804,13M,"5,000,000+",Free,$0,Everyone,1.1
App_123,TOOLS,2.1,491046,25M,"50,000+",Free,$0,Everyone,1.4
App_124,TOOLS,,25569,38M,"100,000+",Free,$0,Teen,1.4
App_125,PRODUCTIVITY,3.0,377159,58M,"100,000+",Free,$0,Teen,1.0
App_126,FINANCE,4.5,198757,59M,"1,000+",Free,$0,Everyone,2.3
App_127,MEDICAL,1.8,194702,58M,"1,000+",Paid,$16.68,Teen,1.6
App_128,MEDICAL,,126219,93M,"1,000,000+",Paid,$6.44,Teen,1.0
App_129,MEDICAL,1.0,326006,70M,"100,000+",Free,$0,Teen,2.4
App_130,PRODUCTIVITY,1.7,438765,Varies with device,"100,000+",Free,$0,Mature 17+,2.5
App_131,GAME,,470145,Varies with device,"50,000+",Free,$0,Everyone 10+,4.2
App_132,BUSINESS,1.1,123796,79M,"100,000+",Free,$0,Everyone 10+,2.1
App_133,PRODUCTIVITY,1.4,359922,29M,"5,000,000+",Free,$0,Mature 17+,2.3
App_134,FINANCE,4.5,437639,92M,"5,000,000+",Free,$0,Mature 17+,4.5
App_135,TOOLS,4.9,138506,38M,"50,000+",Free,$0,Mature 17+,4.1
App_136,MEDICAL,3.2,283717,17M,"5,000,000+",Free,$0,Everyone 10+,2.3
App_137,MEDICAL,1.5,238270,3M,"1,000,000+",Free,$0,Everyone,
App_138,MEDICAL,3.7,34541,48M,"1,000+",Free,$0,Teen,1.1
App_139,TOOLS,1.6,254235,82M,"100,000+",Free,$0,Everyone,1.7
App_140,TOOLS,1.4,436634,46M,"1,000,000+",Free,$0,Teen,2.0
App_141,FAMILY,4.5,477095,Varies with device,"1,000,000+",Free,$0,Everyone 10+,3.1
App_142,MEDICAL,1.7,324922,61M,"100,000+",Free,$0,Everyone,3.8
App_143,FAMILY,4.8,259941,62M,"100,000+",Free,$0,Everyone 10+,4.5
App_144,FAMILY,2.9,449672,14M,"100,000+",Free,$0,Mature 17+,1.8
App_145,PRODUCTIVITY,2.3,385783,8M,"5,000,000+",Free,$0,Everyone 10+,
App_146,BUSINESS,3.9,262815,56M,"1,000+",Free,$0,Mature 17+,3.5
App_147,MEDICAL,4.4,465767,58M,"5,000,000+",Free,$0,Everyone,4.3
App_148,BUSINESS,,378554,36M,"50,000+",Free,$0,Mature 17+,3.1
App_149,BUSINESS,2.1,279932,12M,"100,000+",Free,$0,Mature 17+,1.2
App_150,FAMILY,4.6,404787,78M,"50,000+",Free,$0,Everyone,1.5
App_151,BUSINESS,3.4,297200,2M,"1,000+",Free,$0,Everyone,3.4
App_152,PRODUCTIVITY,4.1,61377,23M,"100,000+",Free,$0,Teen,2.8
App_153,GAME,3.4,416725,64M,"1,000,000+",Free,$0,Everyone 10+,1.4
App_154,GAME,4.2,116901,6M,"1,000,000+",Free,$0,Mature 17+,2.8
App_155,MEDICAL,1.2,474122,70M,"5,000,000+",Free,$0,Everyone,3.3
App_156,PRODUCTIVITY,3.7,196743,50M,"5,000,000+",Free,$0,Everyone 10+,3.1
App_157,MEDICAL,1.6,285065,52M,"50,000+",Free,$0,Everyone 10+,1.0
App_158,MEDICAL,2.8,430606,47M,"50,000+",Free,$0,Everyone 10+,2.1
App_159,FAMILY,4.5,228081,91M,"1,000+",Free,$0,Everyone,3.4
App_160,PRODUCTIVITY,2.4,462795,70M,"1,000+",Free,$0,Everyone,1.4
App_161,PRODUCTIVITY,1.4,376198,4M,"100,000+",Free,$0,Teen,3.2
App_162,PRODUCTIVITY,1.5,238399,85M,"1,000+",Free,$0,Everyone 10+,3.8
App_163,GAME,2.5,415669,Varies with device,"100,000+",Free,$0,Teen,2.8
App_164,TOOLS,4.8,240079,93M,"50,000+",Paid,$3.82,Mature 17+,4.3
App_165,MEDICAL,3.2,212791,43M,"5,000,000+",Free,$0,Everyone 10+,
App_166,MEDICAL,,301464,75M,"100,000+",Paid,$18.74,Teen,2.3
App_167,PRODUCTIVITY,2.2,203512,8M,"50,000+",Free,$0,Teen,1.3
App_168,FAMILY,1.7,376168,39M,"5,000,000+",Free,$0,Everyone 10+,2.7
App_169,BUSINESS,1.3,321343,45M,"50,000+",Paid,$1.04,Teen,2.8
App_170,FAMILY,3.4,76163,42M,"1,000+",Free,$0,Everyone,4.2
App_171,BUSINESS,3.7,327835,74M,"1,000+",Free,$0,Everyone,3.1
App_172,GAME,1.4,339385,35M,"1,000,000+",Free,$0,Everyone 10+,2.8
App_173,FINANCE,2.1,4368,67M,"50,000+",Free,$0,Everyone 10+,3.6
